model_name,interpretability,dataset_version,Accuracy,Precision,Recall,F1_Score,ROC_AUC,interpretability_score
Perceptron,Medium,1.0.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,,1
SVC_Linear,Medium,1.0.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,,1
LinearSVC,Medium,1.1.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,,1
SGDClassifier,Medium,1.1.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,,1
KNeighbors_K7,Medium,1.2.0,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9811507936507936,1
KNeighbors_K7,Medium,1.3.0,0.9649122807017544,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9803240740740742,1
LinearSVC,Medium,1.0.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,,1
SGDClassifier,Medium,1.0.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,,1
Perceptron,Medium,1.1.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,,1
KNeighbors_K7,Medium,1.1.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9828042328042328,1
Perceptron,Medium,1.2.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,,1
Perceptron,Medium,1.3.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,,1
KNeighbors_K7,Medium,1.0.0,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,0.9813161375661377,1
SGDClassifier,Medium,1.2.0,0.956140350877193,0.9302325581395349,0.9523809523809523,0.9411764705882353,,1
RidgeClassifier,Medium,1.1.0,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9397590361445783,,1
KNeighbors_K3,Medium,1.3.0,0.956140350877193,0.9512195121951219,0.9285714285714286,0.9397590361445783,0.9806547619047619,1
SVC_Linear,Medium,1.3.0,0.9473684210526315,0.8913043478260869,0.9761904761904762,0.9318181818181818,,1
LinearSVC,Medium,1.3.0,0.9473684210526315,0.8913043478260869,0.9761904761904762,0.9318181818181818,,1
KNeighbors_K3,Medium,1.1.0,0.9473684210526315,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9834656084656086,1
KNeighbors_K3,Medium,1.2.0,0.9473684210526315,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9831349206349206,1
RidgeClassifier,Medium,1.0.0,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,,1
LinearDiscriminantAnalysis,Medium,1.1.0,0.9473684210526315,0.95,0.9047619047619048,0.926829268292683,0.9864417989417988,1
RidgeClassifier,Medium,1.2.0,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,,1
RidgeClassifier,Medium,1.3.0,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,,1
LinearDiscriminantAnalysis,Medium,1.3.0,0.9473684210526315,0.9736842105263158,0.8809523809523809,0.925,0.9814814814814815,1
SVC_Linear,Medium,1.2.0,0.9385964912280702,0.8723404255319149,0.9761904761904762,0.9213483146067416,,1
LinearDiscriminantAnalysis,Medium,1.0.0,0.9385964912280702,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9854497354497355,1
LinearDiscriminantAnalysis,Medium,1.2.0,0.9385964912280702,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9828042328042328,1
SVC_Linear,Medium,1.1.0,0.9298245614035088,0.8541666666666666,0.9761904761904762,0.9111111111111111,,1
LinearSVC,Medium,1.2.0,0.9298245614035088,0.8541666666666666,0.9761904761904762,0.9111111111111111,,1
SGDClassifier,Medium,1.3.0,0.9298245614035088,0.8541666666666666,0.9761904761904762,0.9111111111111111,,1
AdaBoost,Bad,1.0.0,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9914021164021164,0
AdaBoost,Bad,1.1.0,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9930555555555556,0
AdaBoost,Bad,1.3.0,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9897486772486772,0
RandomForest,Bad,1.0.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9875992063492064,0
ExtraTrees,Bad,1.0.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9875992063492063,0
GradientBoosting,Bad,1.0.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9871031746031745,0
ExtraTrees,Bad,1.1.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9892526455026455,0
GradientBoosting,Bad,1.1.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9867724867724867,0
RandomForest,Bad,1.2.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9793320105820106,0
AdaBoost,Bad,1.2.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9927248677248678,0
RandomForest,Bad,1.3.0,0.9649122807017544,0.9318181818181818,0.9761904761904762,0.9534883720930233,0.9814814814814815,0
HistGradientBoosting,Bad,1.0.0,0.956140350877193,0.9111111111111111,0.9761904761904762,0.9425287356321839,0.9861111111111112,0
